run_index,chosen_slot_id,tie_break_reason
78,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
79,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
80,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
81,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
82,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
83,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
84,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
85,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
86,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
87,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
88,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
89,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
90,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
91,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
92,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
93,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
94,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
95,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
96,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
97,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
98,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
99,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
100,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
